Comment,Designator,Footprint,LCSC,Quantity
0.1nF,"C11,C7,C8,C9",C_0402_1005Metric,C1546,4
1.5Amp,F1,Fuse_0603_1608Metric,C126814,1
10000R,"R10,R12,R14,R3,R7,R9",R_0402_1005Metric,C25744,6
1000R,R6,R_0402_1005Metric,C11702,1
100nF,"C1,C10,C5",C_0402_1005Metric,C1525,3
1uF,"C2,C3,C4,C6",C_0402_1005Metric,C52923,4
3300R,"R11,R13,R15,R8",R_0402_1005Metric,C25890,4
4700R,"R4,R5",R_0402_1005Metric,C25900,2
5100R,"R1,R2",R_0402_1005Metric,C25905,2
705430038,"Fan1,Fan2,Fan3,Fan4",CONN-TH_47053-1000,C240840,4
BME280,U3,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,C92489,1
ESP32-S3-MINI-1,U1,ESP32-S3-MINI-1,C3013941,1
GT-USB-7052,USB1,USB-C-SMD_GT-USB-7052_1,C963223,1
LED,D1,LED_0603_1608Metric,C2286,1
TLV76733DGNR,U2,MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL-EP-1,C2873382,1
TS-1088-AR02016,"BOOT1,RESET1",SW-SMD_L3.9-W3.0-P4.45,C720477,2
USBLC6-2SC6_C2687116,D2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C2687116,1
