Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,9.0,-3.5,-90.0,top
C1,100nF,C_0402_1005Metric,9.5,-8.25,180.0,top
C10,100nF,C_0402_1005Metric,8.0,-35.0,90.0,top
C11,0.1nF,C_0402_1005Metric,22.3,-22.0,180.0,top
C2,1uF,C_0402_1005Metric,30.0,-28.5,90.0,top
C3,1uF,C_0402_1005Metric,9.5,-10.75,0.0,top
C4,1uF,C_0402_1005Metric,29.5,-8.25,180.0,top
C5,100nF,C_0402_1005Metric,22.0,-27.0,90.0,top
C6,1uF,C_0402_1005Metric,25.0,-28.5,90.0,top
C7,0.1nF,C_0402_1005Metric,9.5,-13.25,0.0,top
C8,0.1nF,C_0402_1005Metric,9.5,-15.75,0.0,top
C9,0.1nF,C_0402_1005Metric,17.0,-22.0,0.0,top
D1,LED,LED_0603_1608Metric,28.0,-35.0,90.0,top
D2,USBLC6-2SC6_C2687116,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,19.5,-27.0,0.0,top
F1,1.5Amp,Fuse_0603_1608Metric,16.0,-31.0,-90.0,top
Fan1,705430038,CONN-TH_47053-1000,5.98,-13.0,90.0,top
Fan2,705430038,CONN-TH_47053-1000,5.98,-26.0,90.0,top
Fan3,705430038,CONN-TH_47053-1000,33.02,-26.0,-90.0,top
Fan4,705430038,CONN-TH_47053-1000,33.02,-13.0,-90.0,top
R1,5100R,R_0402_1005Metric,14.0,-35.0,90.0,top
R10,10000R,R_0402_1005Metric,14.0,-27.0,180.0,top
R11,3300R,R_0402_1005Metric,11.0,-27.0,180.0,top
R12,10000R,R_0402_1005Metric,28.0,-24.0,0.0,top
R13,3300R,R_0402_1005Metric,25.0,-24.0,0.0,top
R14,10000R,R_0402_1005Metric,29.61,-13.0,180.0,top
R15,3300R,R_0402_1005Metric,29.635,-18.15,180.0,top
R2,5100R,R_0402_1005Metric,25.0,-35.0,-90.0,top
R3,10000R,R_0402_1005Metric,29.56,-15.625,0.0,top
R4,4700R,R_0402_1005Metric,12.0,-31.0,-90.0,top
R5,4700R,R_0402_1005Metric,10.0,-31.0,-90.0,top
R6,1000R,R_0402_1005Metric,31.0,-35.0,90.0,top
R7,10000R,R_0402_1005Metric,29.54,-10.65,180.0,top
R8,3300R,R_0402_1005Metric,11.0,-24.0,180.0,top
R9,10000R,R_0402_1005Metric,14.0,-24.0,180.0,top
RESET1,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,30.0,-3.5,-90.0,top
U1,ESP32-S3-MINI-1,ESP32-S3-MINI-1,19.5,-13.25,0.0,top
U2,TLV76733DGNR,MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL-EP-1,27.5,-28.5,180.0,top
U3,BME280,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,11.0,-36.0,0.0,top
USB1,GT-USB-7052,USB-C-SMD_GT-USB-7052_1,19.5,-35.0,0.0,top
